Temperatura °C,Conductividad Eléctrica uS/cm,pH unidades de pH,Nitratos (mg N-NO3-/L)
25,66,7.27,0.256
25,74,7.04,0.385
26,76,6.75,0.254
26,90,7.08,0.22
26,97,7.01,0.233
27,98,7.09,0.212
27,93,7.12,0.286
26.2,140,7.32,0.516
24.2,143,7.2,0.686
24,138,7.3,0.122
24.6,147,7.48,0.427
22.8,164,7.2,0.622
15,30,6.68,0.241
15,49,6.6,0.133
15,47,7.02,0.177
16,46,7.2,0.19
17,49,7.03,0.169
23.1,115,6.19,0.283
23.2,121,7.1,0.174
24,122,7.05,0.172
24.2,144,6.79,0.172
24.4,149,6.86,0.221
24.7,157,6.97,0.325
25,171,6.81,0.108
25.2,175,6.75,0.064
25.4,173,6.68,0.072
25.6,151,6.79,0.21
24.9,147,6.89,0.517
25.3,153,6.77,0.385
25.4,147,6.76,0.608
25.3,283,6.22,0.357
20,106,6.37,0.318
19.8,103,5.76,0.11
21,100,7.08,0.218
21.4,98,6.54,0.106
22.2,97,7.98,0.323
20,140,7.26,1.05
20,146,7.24,1.53
20,145,7.15,0.348
22,164,7.08,0.348
22,169,7.01,0.41
22,190,7.1,0.273
23,197,7.1,0.246
23,183,7.05,0.281
23,178,7.2,0.153
24.5,162,6.95,0.389
25.1,171,6.86,0.702
25.3,180,6.5,0.407
25.8,171,6.76,0.471
25.2,191,6.38,0.074
22.1,102,6.87,0.096
21.7,105,6.78,0.168
22.1,92,7.1,0.064
22.4,92,7.12,0.079
23.4,95,7.28,0.168
20,126.3,7.25,0.22
20,132.2,7.1,0.219
,127.9,7,0.139
21,138.6,6.8,0.139
,148.6,6.8,0.215
23,168.1,6.82,0.205
23,183.3,6.8,0.109
24,166.7,6.8,0.84
24,160.5,6.88,0.165
26,143,6.96,0.397
24.6,145,7,0.499
25,144,6.97,0.461
25.1,134,6.94,1.324
26,164,6.94,0.307
29.3,79,6.82,0.349
20.8,80,6.8,0.504
21.5,72,7.02,0.353
21.4,74,7.12,0.336
23.2,80,7.24,0.452
19,103.9,6.96,0.405
19,108.3,7,0.486
20,113.2,6.95,0.376
20,114,7.08,0.4
20,130.2,6.92,0.367
20,150.3,6.95,0.333
20,157.2,6.97,0.472
20,156.9,7,0.448
21,158.1,7.1,0.465
24,153,7.28,0.562
23.5,154,7.15,0.737
23.9,159,7.18,0.866
23.8,153,7.22,0.836
23.2,140,7.18,0.819
23.5,99.2,7.3,0.464
17,99.5,6.92,0.449
18,107,6.78,0.474
18,114.5,6.85,0.577
19,137.5,7.01,0.802
18,101.4,6.56,0.425
20.5,95.3,6.42,0.535
20.4,92.3,6.35,0.409
21,85.4,6.91,0.439
21.4,93.8,7.92,0.447
23.5,96.1,7.36,0.698
,98.3,7.18,1.261
,101.3,7.22,0.796
,106.9,7.19,1.036
,112.6,7.19,0.756
,123.8,7.08,0.873
,137.5,7.09,0.664
,149.1,7.2,0.843
,149.2,7.12,1.411
,145.5,7.34,1.807
22.5,140.2,7.19,0.862
23.1,137.6,7.29,1.027
23.5,146.7,7.23,1.272
23.7,168.2,7.22,0.751
22.2,117,7.3,1.031
24.2,141.5,7.2,0.692
24.4,148,7.38,0.519
25.4,160.5,7.19,0.718
24.7,194.5,7.36,0.462
22.9,171.8,7.38,0.52
21.4,77.6,6.33,0.401
20.5,91.3,5.65,0.436
21.2,106.9,5.65,0.451
21.6,119.7,6.21,0.519
21.6,120.1,6.32,0.687
21.7,118.4,6.39,0.473
21.5,145.8,6.78,0.685
21.7,149.4,6.76,0.508
22.1,148.7,6.69,0.665
22.2,145.6,6.68,2.009
22.5,165.6,6.63,0.568
23,177.6,6.47,0.513
22.8,156.7,6.6,0.431
21.5,140.2,6.4,1.064
21.2,79.3,8.27,0.868
21.4,69.7,8.21,0.589
21.3,65.2,8.74,0.669
18,129.7,7.12,1.07
19,77.1,7.1,1.102
20,80,7.1,1.085
22,83,7.07,0.912
